user_id,birthdate,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date
697072,1978/12/7,F,FALSE,FALSE,usa,new york,LGA,40.777,-73.872,2023/3/27
698573,1987/1/27,F,FALSE,FALSE,usa,newark,EWR,40.692,-74.169,2023/3/27
699411,1982/3/25,F,TRUE,FALSE,usa,dallas,DAL,32.847,-96.852,2023/3/28
700028,2002/12/8,F,FALSE,FALSE,usa,oklahoma city,TIK,35.415,-97.386,2023/3/28
700237,1976/9/24,F,FALSE,FALSE,usa,atlanta,ATL,33.64,-84.427,2023/3/28
702877,1994/3/8,F,FALSE,TRUE,usa,phoenix,LUF,33.535,-112.383,2023/3/29
704870,1975/2/10,F,FALSE,FALSE,usa,los angeles,LAX,33.942,-118.408,2023/3/30
705215,1992/1/7,F,FALSE,TRUE,canada,hamilton,YHM,43.173,-79.935,2023/3/30
705310,1973/7/9,F,TRUE,FALSE,usa,tacoma,TCM,47.138,-122.476,2023/3/30
705984,2002/11/25,F,TRUE,TRUE,usa,norfolk,ORF,36.894,-76.201,2023/3/30
707260,1978/11/7,F,TRUE,FALSE,usa,cleveland,CLE,41.412,-81.85,2023/3/30
707402,1952/7/13,F,TRUE,FALSE,usa,shreveport,SHV,32.446,-93.826,2023/3/31
709630,1978/1/27,F,TRUE,TRUE,usa,austin,AUS,30.194,-97.67,2023/3/31
711391,1982/5/24,F,FALSE,TRUE,usa,portland,PDX,45.589,-122.597,2023/4/1
714166,1984/9/14,F,TRUE,FALSE,usa,norfolk,NGU,36.938,-76.289,2023/4/2
714565,1985/6/26,F,FALSE,FALSE,usa,louisville,LOU,38.228,-85.664,2023/4/2
720819,1983/7/18,F,TRUE,FALSE,canada,calgary,YYC,51.114,-114.02,2023/4/4
721552,2003/6/9,F,FALSE,TRUE,usa,new york,JFK,40.64,-73.779,2023/4/5
722828,1991/7/24,F,TRUE,TRUE,usa,atlanta,ATL,33.64,-84.427,2023/4/5
722939,1980/7/1,F,FALSE,TRUE,usa,fresno,FAT,36.776,-119.718,2023/4/5
724581,1985/8/16,F,TRUE,FALSE,usa,phoenix,PHX,33.434,-112.008,2023/4/6
726953,1972/12/8,F,FALSE,FALSE,usa,phoenix,PHX,33.434,-112.008,2023/4/7
730639,1971/3/24,F,FALSE,FALSE,usa,milwaukee,MKE,42.947,-87.896,2023/4/8
732729,1982/1/22,F,FALSE,TRUE,usa,columbus,CMH,39.998,-82.892,2023/4/9
