user_id,de_hour
525615,14
735029,15
513956,7
488511,12
512791,9
525410,7
625555,21
507732,12
512495,15
565301,7
495727,10
568696,16
519392,10
583120,10
512835,7
513103,15
537373,12
536086,10
631201,9
520821,10
619362,12
606930,7
550200,8
557834,10
404879,7
476393,12
514235,9
548109,12
125845,15
543937,12
522800,16
531143,13
536695,12
546256,7
534782,7
527109,10
610226,10
488918,10
516593,9
485894,11
594737,7
526490,7
513338,7
541289,8
506013,11
609817,13
567256,8
593833,11
579950,11
552535,15
531322,13
534840,16
515908,16
519911,7
612220,7
523503,14
512243,8
542027,9
635949,16
515274,8
521509,14
549152,13
518219,8
493177,10
552532,7
587754,15
546864,15
512680,12
531971,10
659162,10
519726,14
529422,12
536489,15
624497,14
519859,10
514689,15
569572,16
560511,12
520298,8
608287,16
537317,9
482548,7
558204,7
544008,7
635861,11
644870,7
473402,8
514395,8
551088,14
543668,16
588048,8
554956,11
571015,7
511298,7
551804,16
524511,7
523231,11
583612,15
380874,10
530719,8
524473,7
520097,15
536782,7
575051,12
623087,10
550460,13
599833,10
584591,10
592886,8
558362,10
632749,8
523845,8
508829,11
516639,14
603160,7
598881,7
527046,10
541980,14
561326,7
538441,7
614748,7
537671,8
595442,7
489992,11
509749,15
533199,7
306819,16
512063,7
518121,7
438839,10
540199,7
584115,19
516808,15
541752,13
497225,12
539883,7
354050,9
512271,12
615749,11
485393,13
516789,16
586774,11
556268,12
526628,16
559794,14
511535,8
644467,8
359080,8
627518,14
521343,15
537819,14
545518,10
545629,11
560078,8
503277,10
504240,14
659162,7
541939,7
526409,7
597010,10
620453,7
544595,15
619109,9
552649,7
566455,7
562832,16
532544,7
420648,16
502875,15
554961,7
520770,13
514337,11
515478,10
530773,7
517105,16
523465,8
555997,7
568013,14
585965,9
515947,7
552775,9
553559,14
686920,7
530278,11
512322,12
510537,14
596732,15
586384,9
583134,7
587234,12
471500,7
525789,15
534391,10
678888,8
435596,13
527004,7
487040,12
626986,13
509903,13
535795,10
418692,7
421700,13
521814,7
592371,10
519896,10
524895,7
519694,11
479071,7
656920,16
489992,16
553743,8
595122,10
554413,7
508096,8
595624,16
590471,13
514113,8
509713,7
512801,12
681581,16
564736,10
491266,8
437539,10
643645,7
454920,10
531143,11
569300,7
607931,13
488865,16
442718,16
770252,15
636874,8
561339,10
512283,11
450615,7
608860,14
535441,15
632316,7
602918,9
545748,15
602793,12
536656,7
549850,7
513296,15
565377,10
521708,11
515306,8
535047,16
686920,8
513236,8
493177,7
564616,9
552734,11
577598,11
547997,12
510960,8
533404,8
554141,9
510676,8
603296,8
490133,14
539916,12
584134,12
573670,11
570226,11
588414,9
520291,7
546867,7
449619,7
531322,15
538413,16
597498,9
476081,7
522062,9
567950,7
521658,7
535701,7
574909,8
529424,7
587234,13
509530,9
633725,8
447951,12
572479,9
541612,7
515835,7
562843,16
568093,10
491241,8
526179,13
597734,10
531807,11
533388,15
602925,13
526676,13
516176,7
541168,16
522476,9
535686,12
535051,10
665892,15
551468,11
517403,7
525529,7
505667,7
597498,7
558489,11
499990,12
552734,12
517675,12
518541,7
683978,11
531931,11
605494,7
593672,8
564430,14
616718,12
399137,9
518582,8
530625,13
553568,10
517581,10
438406,7
580402,9
529502,16
528612,12
684806,9
558838,9
535553,14
515751,8
549584,7
548504,16
532607,7
510533,14
537804,8
653724,7
552313,8
647804,13
593786,13
566489,9
413418,8
532215,16
526540,13
527850,8
509115,8
547458,7
542196,8
441457,12
516593,7
629803,7
489852,7
521295,11
516006,10
434238,9
546509,14
564736,15
555850,10
518211,12
524200,15
548504,15
576849,12
523146,7
495482,14
375729,10
532519,16
512943,8
396552,7
511398,11
572591,7
606762,7
569829,7
499847,13
561503,14
540415,10
564204,13
570928,10
553955,11
537373,8
516704,7
543237,8
559863,16
511142,11
547555,14
542095,14
525415,8
430722,7
513787,7
618392,10
506186,7
535791,7
498298,7
354311,7
528186,12
515229,11
642820,13
521044,7
548109,14
566762,12
535625,7
555250,15
616715,8
571643,7
529734,13
518579,13
371201,13
515182,13
546419,9
510586,14
542153,7
521416,15
529566,12
353694,13
520556,16
491182,7
578607,7
543352,10
506250,8
548504,10
512463,9
511223,7
536782,13
618088,10
541764,10
628033,7
508849,7
521070,15
546688,10
542850,7
577145,7
527326,7
602598,7
621811,9
512362,7
666174,8
529205,14
533117,7
187212,13
471687,11
528567,16
531217,12
482424,11
494374,15
544868,9
498857,16
563165,15
599454,15
482264,16
573379,11
448564,7
548193,10
402978,10
511739,7
538197,7
540708,16
510156,11
667916,14
575208,7
547070,12
547951,13
483480,14
534045,14
602656,7
598533,19
532742,10
593632,7
542383,16
480331,7
512598,11
651201,13
546399,15
526239,10
546844,14
596820,12
526565,10
400275,12
516528,7
542663,7
533357,14
512984,12
582903,7
540654,10
570215,11
659832,7
556274,7
613275,7
516418,11
527004,15
524001,14
532387,11
510779,11
522402,13
525389,9
609228,15
692510,7
525356,7
488462,16
520175,7
513093,7
557525,7
506186,11
521720,16
566881,12
559368,7
553456,7
511560,7
552623,11
557562,9
491141,11
511851,12
562334,16
539794,11
698573,11
464673,16
583764,14
580212,12
557033,14
603883,7
441200,8
529362,13
505498,10
580626,18
451291,20
501125,7
524194,18
536656,9
536951,10
587698,11
548859,10
542760,8
574465,12
570021,14
518191,7
510003,11
538349,13
521192,7
501947,9
521033,7
562148,7
581721,7
630738,7
559787,15
489575,13
534190,7
717546,7
518826,7
724581,15
545209,13
494382,15
521883,13
522152,12
544254,14
550572,7
539794,13
546485,16
565915,14
555326,7
534179,15
565070,7
475060,7
623750,13
540308,10
543728,7
561846,13
490576,14
659161,7
557726,12
535610,9
499313,13
566173,7
511379,8
609800,7
566152,9
611954,9
538279,14
513844,7
573191,16
546688,7
645685,7
540733,10
531027,7
532863,7
543271,7
617506,8
514002,16
540698,11
548967,16
510257,7
518516,16
595861,13
437539,15
643714,11
404879,12
547325,8
529214,7
705310,7
509341,13
526900,7
562417,7
590103,9
626318,8
549579,14
498574,7
380436,13
120851,7
526062,14
530277,7
597434,15
527464,7
537560,11
454920,12
535189,8
563731,16
457468,8
590442,8
593910,8
632461,13
517284,13
562894,15
558838,8
565841,13
577682,7
520947,7
582636,7
518074,15
509822,11
543081,15
528842,13
608629,16
512147,14
484418,8
527401,7
532748,7
572992,7
511862,7
523231,9
526297,7
576691,7
594027,15
522523,7
539221,9
511567,11
582011,7
521404,15
511397,13
555135,11
522152,17
717149,15
551729,7
732729,15
486113,8
520436,7
566861,15
553361,7
582319,7
586077,15
555499,15
582785,7
623077,16
553054,7
520804,10
523559,9
460553,7
558651,16
521514,10
562648,12
499979,7
568713,8
552384,11
607931,7
521657,7
664663,14
550229,7
584525,13
598687,11
568773,7
544406,13
611350,9
567643,7
537904,7
651491,14
542012,7
610306,7
421700,14
521434,15
527158,7
530223,7
413340,8
522115,7
467339,16
509160,11
511148,8
631787,12
546881,11
592929,16
520898,7
510946,7
392453,7
564842,7
589171,12
558466,8
516053,9
509421,15
550599,7
519709,7
691334,10
519114,9
513555,16
528164,7
666718,7
571566,15
646455,14
463910,7
447737,13
481622,8
421666,16
525734,7
591255,7
557921,11
566770,7
425953,8
568013,7
553985,15
526628,7
531557,15
578549,10
579547,12
624198,16
561908,8
577216,14
620274,7
556841,8
486366,13
559901,12
561642,10
555770,7
527508,7
400582,10
531344,7
559695,8
756030,7
525769,16
531143,10
521587,12
575433,11
529768,7
505771,7
595386,15
537181,11
649081,12
516571,7
571553,12
551990,7
505289,13
573493,7
568182,12
520532,15
514627,9
579792,14
489635,7
541259,10
647662,13
573147,11
514627,10
524120,9
561031,7
509635,14
590442,7
461744,9
527075,9
520265,12
590434,10
528930,7
679040,7
518722,12
566999,10
642344,7
545936,7
518393,15
539135,13
583486,8
553876,16
563592,11
483237,15
513220,7
330893,7
512880,13
511778,13
578938,14
569754,15
519210,15
527690,9
510676,9
599649,12
598276,7
510067,12
499379,9
642679,11
576985,7
524407,13
566682,16
545755,9
563221,13
532835,13
561503,7
524052,7
549800,11
556347,7
542796,7
523686,13
539794,14
559901,7
517898,10
557932,16
512786,7
527346,7
512589,16
533598,7
403881,9
464239,7
510070,13
560065,7
505285,15
436894,7
523511,20
516418,8
589775,9
514215,7
590379,13
509626,15
583038,13
555587,13
559834,7
550871,7
610144,16
576272,7
522062,14
573086,7
389434,11
527507,10
540180,13
538976,7
527158,9
519604,13
538084,8
507435,7
546064,8
680735,9
561950,13
530322,14
566625,13
544476,16
569031,9
607280,11
512103,7
599335,7
547412,7
558251,7
570692,11
651018,16
516177,9
555193,7
658774,14
547823,16
420669,15
549894,9
518612,15
539221,7
537748,12
515051,7
663565,16
508849,10
545758,8
523938,15
692211,12
546847,10
530563,12
642679,14
534105,7
531467,14
252835,10
520291,10
514023,11
561994,11
523710,10
519357,14
513026,10
591714,7
653724,15
520497,7
536566,16
548568,7
572728,10
785107,10
439363,7
486671,9
513964,8
531499,15
504299,16
507732,7
525034,14
578929,7
510343,7
518726,13
638874,11
642344,13
521609,7
606568,7
522323,13
571819,7
511126,7
545089,8
421870,7
523756,7
595171,15
414128,8
497077,7
588497,8
590967,7
511122,7
580460,9
538388,7
542012,13
550868,15
544480,13
583446,14
553791,9
543666,14
551331,7
516351,16
446124,9
549359,7
576691,16
490517,8
537676,7
509552,7
501764,8
486823,7
614828,15
570654,14
529689,9
651269,13
618881,7
546121,9
513126,7
522375,11
503945,8
550077,11
502145,12
559901,8
542874,12
561201,9
530667,15
590014,16
541084,16
528248,7
561331,7
555083,13
636739,7
577225,12
482424,7
570601,8
552573,11
565565,10
526873,11
508877,14
537066,10
540444,7
516117,15
516251,16
527464,10
530421,9
616992,12
523395,7
539782,13
505062,8
622343,8
514210,11
519961,8
482602,14
512706,14
553456,14
535502,8
578947,13
534594,7
535459,11
536659,16
548967,12
573698,11
572479,16
577180,8
541326,11
519254,9
566964,7
562428,7
610144,12
524046,13
517324,9
505289,10
511809,13
512691,9
659664,10
531016,15
641012,11
645415,9
511379,12
552432,12
555191,7
654233,14
585745,8
555600,7
577638,11
480690,15
487453,7
512671,15
525610,7
638140,9
520248,12
546740,14
522937,7
528528,7
468666,9
569572,15
528930,16
438189,15
636524,7
465731,10
523686,7
568970,7
514892,13
598715,13
542805,14
519357,16
543810,8
675201,15
621072,7
576677,13
520619,12
633183,15
459486,7
597734,8
487101,7
427426,10
447591,11
536652,14
546972,7
587470,14
538147,7
545327,13
524194,7
495603,11
520844,11
561243,15
500974,7
522748,13
354050,7
441200,7
508856,17
546844,11
502435,7
597410,8
532941,7
484249,15
483237,8
519631,7
544367,11
589162,9
531744,8
527142,7
586077,10
519965,10
508367,15
474464,16
481292,15
521235,12
537412,7
599348,7
552904,9
557672,9
556830,7
590040,8
555257,16
760793,7
545629,16
583052,7
550754,10
416580,12
456226,8
536574,10
510081,8
615489,15
590400,14
528839,14
502826,10
689984,11
539625,7
558838,7
499375,7
583483,7
380757,11
588893,7
538458,7
580902,16
534939,14
599927,9
554885,7
572826,7
624636,11
646933,13
614165,14
514926,7
530801,11
531006,14
513791,16
509036,13
500773,15
573564,16
608820,14
544043,7
616222,7
549281,7
505667,16
504299,8
537861,14
514384,10
538788,7
601917,11
569342,7
599649,16
608521,16
536490,11
490576,15
598691,7
527046,7
567547,7
474239,7
609838,7
522939,8
573379,10
525671,11
632988,14
544818,16
668776,7
413340,13
489730,10
520770,7
550904,10
264470,7
573704,7
528816,15
564713,12
517803,9
535878,14
520265,7
525842,10
501087,9
558988,7
570144,14
563059,14
552432,11
589154,7
488827,12
606041,8
516647,7
623142,10
548272,9
552904,7
584666,11
583526,9
503945,7
596559,22
568004,15
563882,8
562529,11
510365,7
555894,14
478801,10
418488,13
462456,7
554753,11
511762,15
597946,8
664084,7
513856,8
554213,7
530754,10
561054,8
552929,8
510164,7
626986,14
